ID_UNIFICA;EQUIDAD_SOCIAL;COBERTURA_SALUD;COBERTURA_EDUCACION;COBERTURA_ACUEDUCTO;COBERTURA_ALCANTARILLADO;DISTANCIA_SALUD;DISTANCIA_EDUCACION
6800110000000009810104;10,4451220111876;10153;6941;3;4;318,961513563;341,10082218989
6800110000000013330101;2,0142857338701;18923;12935;1;5;51,7133249478;283,113919501382
6800110000000014100129;15,8766990981056;13665;9444;26;22;302,299832686;99,239379629613
6800110000000002770139;40,4888385044677;10414;6905;146;123;493,287687686;397,721253499915
6800110000000004180436;23,4256093400281;6017;4261;6;9;64,9344917116;188,726078751451
6800110000000004210408;24,9463854855802;5729;3964;91;91;369,352964126;303,556725137948
6800110000000008560167;16,4250000018469;18759;13044;49;45;403,346775221;260,261590941398
6800110000000010820934;16,0937500165568;4141;2605;546;565;799,613352964;946,049263323872
6800110000000002850107;28,0697673309681;5276;3510;389;216;520,531283378;99,5588970074073
6800110000000003070104;24,1317390980928;12082;8075;84;61;335,391759146;155,985622129291
6800110000000003310107;11,3013159852279;10277;6944;5;9;55,4411224307;549,483899130504
6800110000000004750129;16,910377401226;7368;4996;343;291;438,775038724;461,137830763356
6800110000000008610107;13,2547411849273;13433;9318;99;93;7,25571488311;204,203610720139
6800110000000010820508;6,05782609944758;15323;10453;450;135;75,5135611973;292,119831983579
6800110000000010820816;38,948830394717;12571;8248;1713;1042;196,597458187;504,629845143307
6800110000000001880227;31,5273330052694;6993;4511;207;244;217,170239296;270,773160674649
6800110000000001890111;44,1102938091054;2616;1709;286;336;2774,50491708;3308,47389750795
6800110000000001900155;27,3704674132386;12243;8258;195;155;278,329253006;423,253830037152
6800110000000002850304;25,7873495228319;7273;4915;179;104;531,421126693;374,902287594078
6800110000000006360401;3,56046512133853;12417;9001;4;2;52,3931367322;195,515197259587
6800110000000007980245;25,3033335049947;1152;740;31;62;1940,92458673;2226,00378919506
6800110000000010820726;10,3672414018676;12233;8038;773;313;386,244417792;178,366726780451
6800110000000012380404;1,42631579647984;8765;6775;0;4;80,5135657469;732,940213896789
6800110000000013300212;27,8150789520097;4565;3140;1;9;124,443688098;604,404093165294
6800110000000015020154;30,2844442950355;2615;1640;92;167;647,800760447;678,170660620021
6800110000000001020621;19,7545001029968;9257;6088;89;89;105,192571056;504,030029968186
6800110000000002030303;24,4216219660858;15462;10754;136;80;305,136555176;138,959033393548
6800110000000006570205;4,08961037081944;11975;8308;41;22;212,265004177;97,5218584013304
6800110000000006580201;4,34197530895472;11423;8032;49;25;379,535926685;88,492923820468
6800110000000010640215;7,8554878096755;11368;7908;17;20;114,866065055;429,243039340015
6800110000000001010329;35,6663543409276;10676;7237;164;90;200,783184203;540,667216052661
6800110000000007530108;6,97195122300125;7103;4899;9;14;405,687488595;440,345364601208
